VAWA Offenses - Noncampus
Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Domestic violence,Dating violence,Stalking
2014,153269,Drake University,1,Main Campus,5062,0,0,0
2014,184348,Drew University,1,Main Campus,2113,0,0,0
2014,212054,Drexel University,1,University City Campus,26359,0,0,0
2014,212054,Drexel University,3,Center City Campus,26359,0,0,0
2014,177214,Drury University,1,Drury University,4215,0,0,0
2014,177214,Drury University,6,Richwood Valley - OTC,4215,0,0,0
2014,198419,Duke University,1,Main Campus,15856,3,0,0
2014,212106,Duquesne University,1,Main Campus,9648,0,0,0
2014,232043,Eastern Mennonite University,1,Main Campus,1695,0,0,0
2014,165644,Eastern Nazarene College,1,Main Campus,1211,0,0,0
2014,238661,Edgewood College,1,Edgewood College,2980,0,0,0
2014,442806,Edward Via College of Osteopathic Medicine,1,Virginia Campus,1444,0,0,0
2014,442806,Edward Via College of Osteopathic Medicine,2,Carolinas Campus,1444,0,0,0
2014,133526,Edward Waters College,1,Main Campus,929,0,0,0
2014,212197,Elizabethtown College,1,Main Campus,1822,0,0,0
2014,144962,Elmhurst College,1,Main Campus,3257,0,0,0
2014,190983,Elmira College,1,Main Campus,1482,0,0,0
2014,198516,Elon University,1,Elon University,6483,0,0,1
2014,133553,Embry-Riddle Aeronautical University-Daytona Beach,1,Daytona Beach- FL Campus,5538,0,0,0
2014,104586,Embry-Riddle Aeronautical University-Prescott,1,Embry-Riddle Aeronautical University - Prescott,2035,0,0,0
2014,165662,Emerson College,1,Main Campus,4545,1,0,0
2014,165671,Emmanuel College,1,Main Campus,2311,0,0,0
2014,232025,Emory & Henry College,1,Main Campus,1038,1,4,0
2014,139658,Emory University,1,Main Campus,14769,0,0,0
2014,139658,Emory University,2,Oxford College Campus,14769,0,0,0
2014,139658,Emory University,3,Emory University Hospital Midtown Campus,14769,0,0,0
2014,139658,Emory University,4,Carter Center Campus,14769,0,0,0
2014,139658,Emory University,5,Emory University Grady Area Campus,14769,0,0,0
2014,165699,Endicott College,1,Main Campus,4429,0,0,0
2014,217998,Erskine College,1,Erskine College and Seminary,753,0,0,0
2014,177339,Evangel University,1,Main Campus,2006,0,0,0
2014,212443,Evangelical Theological Seminary,1,Main Campus,123,0,0,0
2014,129242,Fairfield University,1,Main Campus,5123,0,0,0
2014,101189,Faulkner University,1,Main Campus,3335,0,0,0
2014,184612,Felician College,1,Main Campus,1953,0,0,0
2014,232089,Ferrum College,1,Ferrum College,1451,0,0,0
2014,114549,Fielding Graduate University,1,Main Campus,1201,0,0,0
2014,165802,Fisher College,1,Main Campus,1875,0,0,0
2014,133711,Flagler College-St Augustine,1,Main Campus,2782,0,0,0
2014,133881,Florida Institute of Technology,1,Main Campus,6393,0,1,0
2014,133979,Florida Memorial University,1,Main Campus,1528,0,0,0
2014,134079,Florida Southern College,1,Main Campus,2670,0,0,0
2014,177418,Fontbonne University,1,Main Campus,1819,0,0,0
2014,177418,Fontbonne University,2,Brentwood Campus,1819,0,0,0
2014,191241,Fordham University,1,Main Campus,15231,0,0,0
2014,191241,Fordham University,2,FORDHAM UNI-LINCOLN CENTER CAMPUS,15231,0,0,0
2014,191241,Fordham University,4,Fordham in London,15231,0,0,0
2014,191241,Fordham University,5,Forham in Granada,15231,0,0,0
2014,191241,Fordham University,6,Fordham in Pretoria,15231,0,0,0
2014,212577,Franklin and Marshall College,1,Franklin and Marshall College Main Campus,2209,0,0,0
2014,150604,Franklin College,1,Franklin College,1075,0,0,0
2014,202806,Franklin University,1,Main Campus,5732,0,0,0
2014,441982,Franklin W Olin College of Engineering,1,Main Campus,350,0,0,0
2014,220215,Freed-Hardeman University,1,Main Campus,1867,0,0,0
2014,114813,Fresno Pacific University,1,FRESNO PACIFIC UNIVERSITY,3458,0,0,0
2014,114813,Fresno Pacific University,2,North Fresno Center,3458,0,0,0
2014,155089,Friends University,1,Main Campus,1882,0,0,0
2014,114840,Fuller Theological Seminary in California,1,Fuller Pasadena,2550,0,0,0
2014,218070,Furman University,1,Main Campus,2973,0,0,0
2014,481030,Future Generations Graduate School,1,Main Campus,38,0,0,0
2014,198561,Gardner-Webb University,1,Main Campus,4470,0,0,0
2014,145275,Garrett-Evangelical Theological Seminary,1,Main Campus,365,0,0,0
2014,212656,Geneva College,1,Main Campus,1717,0,0,0
2014,208822,George Fox University,1,Main Campus,3786,0,0,0
2014,131469,George Washington University,1,Main Campus,25613,0,0,0
2014,131469,George Washington University,7,Hampton Roads Center,25613,0,0,0
2014,131496,Georgetown University,1,Georgetown University Main Campus,17858,0,0,0
2014,212674,Gettysburg College,1,Main Campus,2447,0,0,0
2014,115083,Golden Gate University-San Francisco,1,San Francisco,2909,0,0,0
2014,235316,Gonzaga University,1,Main Campus,7352,0,0,0
2014,165936,Gordon College,1,Fowler Campus,2105,0,0,0
2014,150668,Goshen College,1,Main Campus,843,0,0,0
2014,162654,Goucher College,1,Main Campus,2120,0,0,0
2014,150677,Grace College and Theological Seminary,1,Main Campus,2185,0,0,0
2014,153366,Graceland University-Lamoni,1,Graceland University,2406,0,0,0
2014,153375,Grand View University,1,Main Campus,2064,0,0,0
2014,230898,Green Mountain College,1,Main Campus,833,0,0,0
2014,198598,Greensboro College,1,Main Campus,905,0,0,0
2014,145372,Greenville College,1,Main Campus,1307,0,0,0
2014,153384,Grinnell College,1,Main Campus,1734,0,0,0
2014,198613,Guilford College,1,Main Campus,2137,0,0,0
2014,173647,Gustavus Adolphus College,1,Gustavus Adolphus College,2457,0,0,0
2014,212832,Gwynedd Mercy University,1,Main Campus,2459,0,0,0
2014,212832,Gwynedd Mercy University,3,East Norriton Campus,2459,0,0,0
2014,212832,Gwynedd Mercy University,4,Bensalem Campus,2459,0,0,0
2014,232256,Hampden-Sydney College,1,Main Campus,1105,0,0,0
2014,166018,Hampshire College,1,HAMPSHIRE COLLEGE,1376,0,0,0
2014,232265,Hampton University,1,Main Campus,4393,3,1,0
2014,225247,Hardin-Simmons University,1,Hardin-Simmons University,2084,0,0,0
2014,107044,Harding University,1,Main Campus,6059,0,0,0
2014,191533,Hartwick College,1,Main Campus,1540,0,0,0
2014,166027,Harvard University,1,Cambridge Campus,28791,0,0,0
2014,166027,Harvard University,2,Longwood Campus,28791,0,0,0
