Criminal Offenses - On campus
Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,201104,Ashland University,5,Massillon/Stark Program Center- Ashland University,6359,0,0,0,,,0,,,0,0,0,0,0
2001,201104,Ashland University,6,Cleveland Program Center- Ashland University,6359,0,0,0,,,0,,,0,0,0,0,0
2001,203818,Ashland University Dwight Schar College of Nursing,1,Ashland University Dwight Schar College of Nursing,51,0,0,0,,,0,,,0,0,0,0,0
2001,176619,Assemblies of God Theological Seminary,1,Assembles Of God Theological Seminary,426,0,0,0,,,0,,,0,0,0,0,0
2001,164562,Assumption College,1,Main Campus,2779,0,0,5,,,0,,,0,1,10,0,0
2001,138877,ATLANTA COLLEGE OF ART,1,ATLANTA COLLEGE OF ART,388,0,0,0,,,0,,,0,0,0,0,0
2001,439446,Atlantic Institute of Oriental Medicine,1,Main Campus,62,0,0,0,,,0,,,0,0,0,0,0
2001,164571,Atlantic Union College,1,Atlantic Union College,715,0,0,0,,,1,,,0,1,5,0,0
2001,173045,Augsburg College,1,Main Campus,2911,0,0,0,,,0,,,2,0,2,4,1
2001,173045,Augsburg College,2,Rochester Program,2911,0,0,0,,,0,,,0,0,0,0,0
2001,417345,Augusta Area Dietetic Internship-University Hospital,1,August Area Dietetic Internship-University Hosp,12,0,0,0,,,0,,,0,0,0,0,0
2001,143084,Augustana College,1,Main Campus,2232,0,0,0,,,1,,,1,2,6,0,0
2001,219000,Augustana College,1,Main Campus,1807,0,0,0,,,0,,,0,0,4,1,0
2001,201177,Aultman College of Nursing and Health Sciences,1,Aultman College of Nursing and Health Sciences,142,0,0,0,,,0,,,0,0,59,0,0
2001,143118,Aurora University,1,Main Campus,2801,0,0,1,,,0,,,0,0,6,0,0
2001,222983,Austin College,1,Main Campus,1261,0,0,1,,,0,,,0,0,3,1,0
2001,247825,Austin Graduate School of Theology,1,Main Campus,75,0,0,0,,,0,,,0,0,0,0,0
2001,223001,Austin Presbyterian Theological Seminary,1,Main Campus,259,0,0,0,,,0,,,0,0,3,0,0
2001,439321,Ave Maria College,1,Ave Maria College,187,0,0,0,,,0,,,0,0,3,0,0
