Criminal Offenses - On campus,,,,,
Survey year,Institution name, Campus Name,Institution Size,Rape,Fondling
2014,Albion College,Main Campus,1268,3,0
2014,Albright College,ALBRIGHT COLLEGE,2393,3,0
2014,Albright College,Bethlehem Campus,2393,0,0
2014,Albright College,Harrisburg Campus,2393,0,0
2014,Albright College,Lancaster Campus,2393,0,0
2014,Albright College,Blue Bell Campus,2393,0,1
2014,Albright College,Allentown Campus,2393,0,0
2014,Albright College,Pottstown Campus,2393,0,0
2014,Albright College,Media Campus,2393,0,1
2014,Albright College,Phoenixville Campus,2393,0,0
2014,Albright College,Mesa- Arizona,2393,0,0
2014,Albright College,Carbon - Schuylkill,2393,0,0
2014,Alcorn State University,Main Campus,3639,0,0
2014,Alcorn State University,Natchez Campus,3639,0,0
2014,Alderson Broaddus University,Main Campus,1108,0,0
2014,Alegent Creighton Health School of Radiologic Technology,Main Campus- Immanuel Medical Center,22,0,0
2014,Alegent Creighton Health School of Radiologic Technology,Alegent Health Mercy Hospital,22,0,0
2014,Alegent Creighton Health School of Radiologic Technology,Bergan Mercy,22,0,0
2014,Alexander Academy,Main Campus,58,0,0
2014,Alexander Paul Institute of Hair Design,Main Campus,29,0,0
2014,Alexandria School of Scientific Therapeutics,Main Campus,37,0,0
2014,Alexandria Technical & Community College,Alexandria Technical and Community College,2604,0,2
2014,Alfred University,Main Campus,2310,0,0
2014,Alhambra Beauty College,ALHAMBRA BEAUTY COLLEGE,92,0,0
2014,Alice Lloyd College,Main Campus,657,0,0
2014,All Beauty College,Main Campus,37,0,0
2014,All-State Career School-Allied Health Campus,Allied Health Campus,322,0,0
2014,All-State Career School-Lester,Main Campus,314,0,0
2014,All-State Career-Baltimore,All-State Career,714,0,0
2014,All-State Career-Baltimore,All-State Career-Pittsburgh,714,0,0
2014,Allan Hancock College,Santa Maria,11047,0,0
2014,Allan Hancock College,Lompoc Valley Center,11047,0,0
2014,Allegany College of Maryland,Main Campus,3227,0,0
2014,Allegheny College,Main Campus,2023,9,0
2014,Allegheny Wesleyan College,Main Campus,62,0,0
2014,Allen College,Main Campus,575,0,0
2014,Allen County Community College,Main Campus,2628,0,0
2014,Allen County Community College,Allen County Community Collge - Burlingame Campus,2628,0,0
2014,Allen School-Brooklyn,Brooklyn Campus,476,0,0
2014,Allen School-Jamaica,Main Campus,322,0,0
2014,Allen School-Phoenix,Branch Campus - Allen School Phoenix,962,0,0
2014,Allen University,Main Campus,660,0,0
2014,Alliance Computing Solutions,Main Campus,36,0,0
2014,Alliant International University-San Diego,San Diego Campus,3957,1,0
2014,Alliant International University-San Diego,Alliant International University - Fresno,3957,0,0
2014,Alliant International University-San Diego,Alliant International University - Alhambra,3957,0,0
2014,Alliant International University-San Diego,Alliant International University - San Francisco,3957,0,0
2014,Alliant International University-San Diego,Alliant University - Irvine,3957,0,0
2014,Alliant International University-San Diego,Alliant University - Sacramento,3957,0,0
2014,Alliant International University-San Diego,Presidio Graduate School,3957,0,0
2014,Alliant International University-San Diego,San Fransisco Law School,3957,0,0
2014,Alliant International University-San Diego,Oakland PCS,3957,0,0
2014,Allied Health Institute,Main campus,441,0,0
2014,Allstate Hairstyling & Barber College,Main Campus,34,0,0
2014,Alma College,Main Campus,1396,0,1
2014,Alpena Community College,Main Campus,1636,0,0
2014,Altoona Beauty School Inc,Main Campus,60,0,0
2014,Alvareitas College of Cosmetology-Belleville,Main Campus,13,0,0
2014,Alvareitas College of Cosmetology-Edwardsville,Main Campus,47,0,0
2014,Alvareitas College of Cosmetology-Godfrey,Main Campus,50,0,0
2014,Alvernia University,Main Campus,2917,1,0
2014,Alverno College,Alverno College,2389,0,0
2014,Alvin Community College,Alvin Community College,4837,0,0
2014,AM College LLC,Main Campus,158,0,0
2014,Amarillo College,Washington Street Campus,10336,0,0
2014,Amarillo College,Amarillo College East Campus,10336,0,0
2014,Amarillo College,Amarillo College West Campus,10336,0,0
2014,Amarillo College,Amarillo College Polk street Campus,10336,0,0
2014,Amarillo College,Amarillo College Community Link,10336,0,0
2014,Amarillo College,Moore County Campus,10336,0,0
2014,Amarillo College,Amarillo College Hereford Campus,10336,0,0
2014,Ambiance Beauty & Barber Academy Inc,Main Campus,39,0,0
2014,Ambria College of Nursing,Main Campus,432,0,0
2014,American Academy McAllister Institute of Funeral Service,Main Campus,424,0,0
2014,American Academy of Acupuncture and Oriental Medicine,Main Campus,57,0,0
2014,American Academy of Art,Main Campus,365,0,0
2014,American Academy of Cosmetology,Main Campus,117,0,0
2014,American Academy of Dramatic Arts-Los Angeles,Main Campus,280,0,0
2014,American Academy of Dramatic Arts-New York,Main Campus,253,0,0
2014,American Academy of Personal Training,AMERICAN ACADEMY OF PERSONAL TRAINING,187,0,0
2014,American Advanced Technicians Institute,Main Campus,124,0,0
2014,American Baptist College,American Baptist College,157,0,0
2014,American Baptist Seminary of the West,American Baptist Seminary of the West,53,0,0
2014,American Beauty Academy,Main Campus,1037,0,0
2014,American Beauty Academy,Baltimore Campus,1037,0,0
2014,American Beauty Academy,Wilmington Campus,1037,0,0
2014,American Beauty Academy,American Beauty Academy-Lancaster,1037,0,0
2014,American Beauty Academy,Main Campus,37,0,0
2014,American Beauty College,Main Campus,97,0,0
2014,American Beauty School,Main Campus,201,0,0
2014,American Broadcasting School-Arlington,Arlington Campus,23,0,0
