case,lats,lons,name,size
0.0,26.464262,-81.773578,Florida Gulf Coast University,4214.0
0.0,25.757111,-80.377591,Florida International University,31727.0
0.0,30.334918,-81.659901,Florida State College at Jacksonville,22121.0
0.0,30.334918,-81.659901,Florida State College at Jacksonville,22121.0
0.0,30.334918,-81.659901,Florida State College at Jacksonville,22121.0
0.0,30.334918,-81.659901,Florida State College at Jacksonville,22121.0
0.0,30.334918,-81.659901,Florida State College at Jacksonville,22121.0
0.0,30.334918,-81.659901,Florida State College at Jacksonville,22121.0
28.0,30.43974,-84.290884,Florida State University,34982.0
0.0,47.983311,-102.472814,Fort Berthold Community College,50.0
0.0,38.872436,-99.340493,Fort Hays State University,5626.0
0.0,37.275428,-107.867003,Fort Lewis College,4429.0
0.0,32.538163,-83.895548,Fort Valley State University,2485.0
0.0,42.297289,-71.437175,Framingham State University,5903.0
0.0,34.192277,-79.655515,Francis Marion University,3513.0
1.0,39.651509,-78.933871,Frostburg State University,5283.0
0.0,34.234389,-83.867337,Gainesville State College,3685.0
0.0,34.234389,-83.867337,Gainesville State College,3685.0
0.0,38.83088,-77.30794,George Mason University,24897.0
2.0,33.470656,-81.989216,Georgia Health Sciences University,1939.0
0.0,34.169791,-85.207356,Georgia Highlands College,2400.0
0.0,33.773732,-84.396019,Georgia Institute of Technology-Main Campus,15575.0
0.0,32.427341,-81.779908,Georgia Southern University,14371.0
0.0,32.058198,-84.217755,Georgia Southwestern State University,2535.0
0.0,33.7527,-84.38667,Georgia State University,25743.0
0.0,38.935341,-80.833597,Glenville State College,2143.0
10.0,41.448603,-87.717012,Governors State University,5860.0
0.0,32.522702,-92.717367,Grambling State University,4500.0
0.0,42.965208,-85.887519,Grand Valley State University,19762.0
0.0,42.965208,-85.887519,Grand Valley State University,19762.0
0.0,42.965208,-85.887519,Grand Valley State University,19762.0
0.0,42.965208,-85.887519,Grand Valley State University,19762.0
0.0,42.965208,-85.887519,Grand Valley State University,19762.0
2.0,43.190293,-71.506383,Granite State College,2095.0
0.0,40.84242,-115.76733,Great Basin College,2470.0
0.0,40.84242,-115.76733,Great Basin College,2470.0
0.0,40.84242,-115.76733,Great Basin College,2470.0
0.0,40.84242,-115.76733,Great Basin College,2470.0
0.0,47.312277,-122.178175,Green River Community College,6206.0
0.0,30.186104,-85.727249,Gulf Coast State College,5765.0
0.0,38.631744,-90.224288,Harris-Stowe State University,1921.0
0.0,38.937786,-95.232513,Haskell Indian Nations University,967.0
0.0,34.127792,-93.060313,Henderson State University,3465.0
0.0,40.8741,-124.0814,Humboldt State University,7382.0
0.0,42.864108,-112.429084,Idaho State University,13663.0
0.0,42.864108,-112.429084,Idaho State University,13663.0
0.0,42.864108,-112.429084,Idaho State University,13663.0
0.0,40.509724,-88.99234,Illinois State University,21240.0
0.0,27.423121,-80.35785,Indian River State College,14092.0
0.0,39.46873,-87.407085,Indiana State University,11321.0
3.0,40.615589,-79.159869,Indiana University of Pennsylvania-Main Campus,13457.0
0.0,39.166383,-86.526904,Indiana University-Bloomington,37963.0
0.0,39.867099,-84.886187,Indiana University-East,2469.0
0.0,40.459913,-86.132096,Indiana University-Kokomo,2741.0
0.0,41.556723,-87.338457,Indiana University-Northwest,4639.0
0.0,41.115418,-85.111747,Indiana University-Purdue University-Fort Wayne,11128.0
0.0,39.772948,-86.172217,Indiana University-Purdue University-Indianapolis,28339.0
0.0,39.772948,-86.172217,Indiana University-Purdue University-Indianapolis,28339.0
0.0,41.665746,-86.222958,Indiana University-South Bend,7417.0
0.0,41.665746,-86.222958,Indiana University-South Bend,7417.0
0.0,38.342992,-85.819376,Indiana University-Southeast,6557.0
0.0,35.586563,-106.010015,Institute of American Indian and Alaska Native Culture,44.0
0.0,42.026368,-93.648353,Iowa State University,27823.0
0.0,32.296781,-90.20663,Jackson State University,7098.0
0.0,33.822128,-85.766644,Jacksonville State University,8336.0
0.0,38.435332,-78.871663,James Madison University,15562.0
0.0,38.435332,-78.871663,James Madison University,15562.0
0.0,44.641736,-72.671154,Johnson State College,1590.0
0.0,39.188616,-96.581077,Kansas State University,22396.0
0.0,39.188616,-96.581077,Kansas State University,22396.0
0.0,40.679429,-74.234668,Kean University,12094.0
0.0,42.925999,-72.281433,Keene State College,4633.0
1.0,34.03629,-84.58083,Kennesaw State University,13940.0
0.0,41.888855,-80.8309,Kent State University at Ashtabula,1323.0
0.0,40.617264,-80.576918,Kent State University at East Liverpool,520.0
0.0,41.483727,-81.143085,Kent State University at Geauga,670.0
0.0,41.153757,-81.351168,Kent State University at Kent,22828.0
0.0,40.86408,-80.835458,Kent State University at Salem,1034.0
0.0,40.868568,-81.43731,Kent State University at Stark,3211.0
0.0,41.279153,-80.837363,Kent State University at Trumbull,2109.0
0.0,40.467736,-81.407707,Kent State University at Tuscarawas,1770.0
0.0,38.201056,-84.855488,Kentucky State University,2313.0
0.0,40.513705,-75.785426,Kutztown University of Pennsylvania,8268.0
0.0,42.097276,-86.393445,Lake Michigan College,3384.0
0.0,42.097276,-86.393445,Lake Michigan College,3384.0
0.0,42.097276,-86.393445,Lake Michigan College,3384.0
0.0,46.491736,-84.3655,Lake Superior State University,3142.0
0.0,47.705077,-122.167131,Lake Washington Institute of Technology,3646.0
0.0,30.044274,-94.073389,Lamar University,11214.0
1.0,34.201143,-82.166351,Lander University,2710.0
0.0,35.943953,-97.260263,Langston University,2988.0
0.0,46.410034,-117.026371,Lewis-Clark State College,2953.0
0.0,37.804788,-122.269745,Lincoln University,3332.0
0.0,37.804788,-122.269745,Lincoln University,3332.0
0.0,41.142097,-77.463565,Lock Haven University,4252.0
2.0,37.301073,-78.395789,Longwood University,4114.0
0.0,30.55211,-91.196656,Louisiana State University and Agricultural & Mechanical College,32059.0
0.0,29.957272,-90.083145,Louisiana State University Health Sciences Center-New Orleans,2638.0
0.0,29.957272,-90.083145,Louisiana State University Health Sciences Center-New Orleans,2638.0
0.0,31.178616,-92.414409,Louisiana State University-Alexandria,2715.0
0.0,32.428768,-93.703762,Louisiana State University-Shreveport,4113.0
0.0,32.525518,-92.64964,Louisiana Tech University,10694.0
0.0,44.53433,-72.024563,Lyndon State College,1267.0
0.0,32.810807,-83.731976,Macon State College,4485.0
0.0,43.122912,-89.327683,Madison Area Technical College,14351.0
